OTU ID	HE327A	HE327C	HE327D	HE327E	HE327F	HE327G	HE327J	HE327K	HE327L	HE327N
otu4200	3	3	1	1	2	0	0	1	3	0
otu4470	1	2	3	1	1	2	1	1	2	0
otu4987	0	7	2	0	3	1	1	0	0	0
otu5034	1	4	3	0	2	0	0	0	3	1
otu5162	0	0	0	0	0	1	7	1	2	3
otu5554	1	1	9	0	2	0	1	0	0	0
otu5784	0	2	1	0	2	1	4	1	1	2
otu6378	0	4	5	0	0	1	2	0	2	0
otu6570	0	3	0	2	5	0	0	4	0	0
otu7165	1	4	1	1	4	0	2	0	0	1
otu7638	0	2	2	3	1	0	1	2	2	1
otu767	0	0	1	1	1	3	6	2	0	0
otu7874	4	0	2	0	4	3	1	0	0	0
otu8608	1	3	1	0	3	0	0	0	5	1
otu9591	0	2	1	0	3	4	1	3	0	0
otu1	1	3	3	0	0	1	3	1	1	0
otu1016	3	3	3	3	0	0	1	0	0	0
otu1334	1	2	3	6	0	0	0	0	1	0
otu1420	3	1	6	0	0	0	2	0	1	0
otu1635	0	2	1	1	2	1	4	0	1	1
otu178	1	2	0	1	0	0	3	2	3	1
otu184	0	2	4	7	0	0	0	0	0	0
otu1958	13	0	0	0	0	0	0	0	0	0
otu265	5	2	2	0	3	0	0	0	0	1
otu270	0	0	1	0	2	2	0	2	6	0
otu290	2	1	2	0	1	5	0	1	0	1
otu317	2	2	1	2	3	0	2	0	0	1
otu4010	1	1	10	1	0	0	0	0	0	0
otu430	0	3	1	0	5	1	1	0	2	0
otu438	0	5	6	0	1	0	1	0	0	0
otu4553	0	4	0	1	4	1	1	0	0	2
otu4830	0	2	2	0	0	5	0	1	3	0
otu5234	0	1	1	0	2	1	0	2	5	1
otu5471	0	1	0	0	0	1	2	5	3	1
otu5611	1	0	0	0	2	4	0	3	1	2
otu568	1	2	2	0	2	3	2	1	0	0
otu5914	0	3	3	1	0	0	6	0	0	0
otu6076	0	3	1	5	0	1	3	0	0	0
otu622	0	2	0	0	1	6	4	0	0	0
otu630	0	0	3	0	1	1	2	1	5	0
otu6393	0	0	0	0	3	2	1	4	1	2
otu6745	8	3	2	0	0	0	0	0	0	0
otu6838	0	1	4	1	2	0	4	0	1	0
otu6967	1	0	4	2	1	2	0	0	3	0
otu7143	1	3	3	0	1	0	0	1	4	0
otu723	13	0	0	0	0	0	0	0	0	0
otu7409	0	3	1	0	4	4	0	1	0	0
otu7632	2	2	1	4	0	1	0	0	2	1
otu8128	0	0	0	0	2	3	2	0	6	0
otu82	0	1	0	1	0	0	5	1	5	0
otu824	0	0	0	0	1	0	1	9	2	0
otu8444	0	0	2	0	0	10	0	0	1	0
otu8545	0	5	2	2	2	0	0	0	2	0
otu8710	1	1	4	3	3	1	0	0	0	0
otu9384	0	0	5	2	0	1	1	1	3	0
otu11	0	3	4	0	0	0	0	0	1	4
otu1125	0	0	1	2	3	2	3	0	1	0
otu1255	0	2	1	3	2	1	2	0	1	0
otu1509	0	2	1	0	2	0	2	0	4	1
otu2102	0	5	0	1	3	2	1	0	0	0
otu214	7	1	1	1	0	1	0	0	1	0
otu216	8	1	2	0	0	1	0	0	0	0
otu2179	0	0	0	0	1	2	0	4	5	0
otu2504	0	1	1	3	4	0	0	1	2	0
otu2505	0	0	0	0	6	2	1	2	0	1
otu2758	0	0	2	1	0	5	0	2	1	1
otu3066	0	1	2	0	1	0	1	2	5	0
otu3069	1	0	0	0	2	3	0	2	4	0
otu3287	1	0	5	0	3	3	0	0	0	0
otu3514	0	2	1	9	0	0	0	0	0	0
otu4974	2	0	0	0	5	0	2	0	3	0
otu5208	0	1	4	0	0	0	1	1	3	2
otu5550	3	0	0	2	5	2	0	0	0	0
otu5628	0	0	1	1	0	1	0	1	7	1
otu6147	5	1	0	0	4	1	1	0	0	0
otu6154	0	3	0	0	0	3	1	1	4	0
otu6180	0	0	0	0	1	0	2	3	1	5
